countryCodeId,countryCodeName,countryCodeDesc,countryCodeType
223,Uruguay (+598),,598
224,United States (+1),,1
225,Uzbekistan (+998),,998
226,Vanuatu (+678),,678
227,Venezuela (+58),,58
228,Vietnam (+84),,84
229,Virgin Islands (+1340),,1340
230,Wallis and Futuna (+681),,681
231,Yemen (+967),,967
232,Zambia (+260),,260
233,Zimbabwe (+263),,263
