articleCode,articleName,articleDesc
,Trading Goods,
,Semi-Finished Product,
,Finished product,
,Raw Material,
,Non-Valuated Item,
,NonStock item,
,Service,
,Sales Set,
,Product Group,
,Trading Good NOT Valuated,
